x,y
0.899999976,0.600000024
1.,0.600000024
1.10000002,0.600000024
1.20000005,0.600000024
1.29999995,0.600000024
1.39999998,0.600000024
1.5,0.600000024
1.60000002,0.600000024
1.70000005,0.600000024
1.79999995,0.600000024
1.89999998,0.600000024
2.,0.600000024
0.,0.699999988
0.100000001,0.699999988
0.200000003,0.699999988
0.300000012,0.699999988
0.400000006,0.699999988
0.5,0.699999988
0.600000024,0.699999988
0.699999988,0.699999988
0.800000012,0.699999988
0.899999976,0.699999988
1.,0.699999988
1.10000002,0.699999988
1.20000005,0.699999988
1.29999995,0.699999988
1.39999998,0.699999988
1.5,0.699999988
1.60000002,0.699999988
1.70000005,0.699999988
1.79999995,0.699999988
1.89999998,0.699999988
2.,0.699999988
0.,0.800000012
0.100000001,0.800000012
0.200000003,0.800000012
0.300000012,0.800000012
0.400000006,0.800000012
0.5,0.800000012
0.600000024,0.800000012
0.699999988,0.800000012
0.800000012,0.800000012
0.899999976,0.800000012
1.,0.800000012
1.10000002,0.800000012
1.20000005,0.800000012
1.29999995,0.800000012
1.39999998,0.800000012
1.5,0.800000012
1.60000002,0.800000012
1.70000005,0.800000012
1.79999995,0.800000012
1.89999998,0.800000012
2.,0.800000012
0.,0.899999976
0.100000001,0.899999976
0.200000003,0.899999976
0.300000012,0.899999976
0.400000006,0.899999976
0.5,0.899999976
0.600000024,0.899999976
0.699999988,0.899999976
0.800000012,0.899999976
0.899999976,0.899999976
1.,0.899999976
1.10000002,0.899999976
1.20000005,0.899999976
1.29999995,0.899999976
1.39999998,0.899999976
1.5,0.899999976
1.60000002,0.899999976
1.70000005,0.899999976
1.79999995,0.899999976
1.89999998,0.899999976
2.,0.899999976
0.,1.
0.100000001,1.
0.200000003,1.
0.300000012,1.
0.400000006,1.
0.5,1.
0.600000024,1.
0.699999988,1.
0.800000012,1.
0.899999976,1.
1.,1.
1.10000002,1.
1.20000005,1.
1.29999995,1.
1.39999998,1.
1.5,1.
1.60000002,1.
1.70000005,1.
1.79999995,1.
1.89999998,1.
2.,1.
0.,1.10000002
0.100000001,1.10000002
0.200000003,1.10000002
0.300000012,1.10000002
0.400000006,1.10000002
0.5,1.10000002
0.600000024,1.10000002
0.699999988,1.10000002
0.800000012,1.10000002
0.899999976,1.10000002
1.,1.10000002
1.10000002,1.10000002
1.20000005,1.10000002
1.29999995,1.10000002
1.39999998,1.10000002
1.5,1.10000002
1.60000002,1.10000002
1.70000005,1.10000002
1.79999995,1.10000002
1.89999998,1.10000002
2.,1.10000002
0.,1.20000005
0.100000001,1.20000005
0.200000003,1.20000005
0.300000012,1.20000005
0.400000006,1.20000005
0.5,1.20000005
0.600000024,1.20000005
0.699999988,1.20000005
0.800000012,1.20000005
0.899999976,1.20000005
1.,1.20000005
1.10000002,1.20000005
1.20000005,1.20000005
1.29999995,1.20000005
1.39999998,1.20000005
1.5,1.20000005
1.60000002,1.20000005
1.70000005,1.20000005
1.79999995,1.20000005
1.89999998,1.20000005
2.,1.20000005
0.,1.29999995
0.100000001,1.29999995
0.200000003,1.29999995
0.300000012,1.29999995
0.400000006,1.29999995
0.5,1.29999995
0.600000024,1.29999995
0.699999988,1.29999995
0.800000012,1.29999995
0.899999976,1.29999995
1.,1.29999995
